iteration,learning_rate,phase
0,0.00000000e+00,warmup
10,5.00000000e-07,warmup
20,1.00000000e-06,warmup
30,1.50000000e-06,warmup
40,2.00000000e-06,warmup
50,2.50000000e-06,warmup
60,3.00000000e-06,warmup
70,3.50000000e-06,warmup
80,4.00000000e-06,warmup
90,4.50000000e-06,warmup
100,5.00000000e-06,warmup
110,5.50000000e-06,warmup
120,6.00000000e-06,warmup
130,6.50000000e-06,warmup
140,7.00000000e-06,warmup
150,7.50000000e-06,warmup
160,8.00000000e-06,warmup
170,8.50000000e-06,warmup
180,9.00000000e-06,warmup
190,9.50000000e-06,warmup
200,1.00000000e-05,warmup
210,1.05000000e-05,warmup
220,1.10000000e-05,warmup
230,1.15000000e-05,warmup
240,1.20000000e-05,warmup
250,1.25000000e-05,warmup
260,1.30000000e-05,warmup
270,1.35000000e-05,warmup
280,1.40000000e-05,warmup
290,1.45000000e-05,warmup
300,1.50000000e-05,warmup
310,1.55000000e-05,warmup
320,1.60000000e-05,warmup
330,1.65000000e-05,warmup
340,1.70000000e-05,warmup
350,1.75000000e-05,warmup
360,1.80000000e-05,warmup
370,1.85000000e-05,warmup
380,1.90000000e-05,warmup
390,1.95000000e-05,warmup
400,2.00000000e-05,warmup
410,1.99982652e-05,decay
420,1.99930613e-05,decay
430,1.99843905e-05,decay
440,1.99722560e-05,decay
450,1.99566625e-05,decay
460,1.99376161e-05,decay
470,1.99151241e-05,decay
480,1.98891951e-05,decay
490,1.98598391e-05,decay
500,1.98270675e-05,decay
510,1.97908929e-05,decay
520,1.97513293e-05,decay
530,1.97083918e-05,decay
540,1.96620971e-05,decay
550,1.96124630e-05,decay
560,1.95595086e-05,decay
570,1.95032544e-05,decay
580,1.94437220e-05,decay
590,1.93809344e-05,decay
600,1.93149158e-05,decay
610,1.92456916e-05,decay
620,1.91732886e-05,decay
630,1.90977346e-05,decay
640,1.90190587e-05,decay
650,1.89372914e-05,decay
660,1.88524641e-05,decay
670,1.87646095e-05,decay
680,1.86737615e-05,decay
690,1.85799551e-05,decay
700,1.84832265e-05,decay
710,1.83836130e-05,decay
720,1.82811529e-05,decay
730,1.81758859e-05,decay
740,1.80678524e-05,decay
750,1.79570941e-05,decay
760,1.78436537e-05,decay
770,1.77275749e-05,decay
780,1.76089026e-05,decay
790,1.74876824e-05,decay
800,1.73639610e-05,decay
810,1.72377863e-05,decay
820,1.71092067e-05,decay
830,1.69782719e-05,decay
840,1.68450324e-05,decay
850,1.67095396e-05,decay
860,1.65718455e-05,decay
870,1.64320035e-05,decay
880,1.62900673e-05,decay
890,1.61460916e-05,decay
900,1.60001321e-05,decay
910,1.58522449e-05,decay
920,1.57024871e-05,decay
930,1.55509164e-05,decay
940,1.53975912e-05,decay
950,1.52425706e-05,decay
960,1.50859145e-05,decay
970,1.49276832e-05,decay
980,1.47679376e-05,decay
990,1.46067395e-05,decay
1000,1.44441509e-05,decay
1010,1.42802345e-05,decay
1020,1.41150535e-05,decay
1030,1.39486716e-05,decay
1040,1.37811529e-05,decay
1050,1.36125621e-05,decay
1060,1.34429640e-05,decay
1070,1.32724242e-05,decay
1080,1.31010083e-05,decay
1090,1.29287824e-05,decay
1100,1.27558129e-05,decay
1110,1.25821665e-05,decay
1120,1.24079102e-05,decay
1130,1.22331111e-05,decay
1140,1.20578366e-05,decay
1150,1.18821543e-05,decay
1160,1.17061319e-05,decay
1170,1.15298372e-05,decay
1180,1.13533383e-05,decay
1190,1.11767032e-05,decay
1200,1.10000000e-05,decay
1210,1.08232968e-05,decay
1220,1.06466617e-05,decay
1230,1.04701628e-05,decay
1240,1.02938681e-05,decay
1250,1.01178457e-05,decay
1260,9.94216342e-06,decay
1270,9.76688892e-06,decay
1280,9.59208981e-06,decay
1290,9.41783348e-06,decay
1300,9.24418710e-06,decay
1310,9.07121762e-06,decay
1320,8.89899173e-06,decay
1330,8.72757581e-06,decay
1340,8.55703595e-06,decay
1350,8.38743790e-06,decay
1360,8.21884705e-06,decay
1370,8.05132838e-06,decay
1380,7.88494649e-06,decay
1390,7.71976550e-06,decay
1400,7.55584911e-06,decay
1410,7.39326050e-06,decay
1420,7.23206236e-06,decay
1430,7.07231683e-06,decay
1440,6.91408550e-06,decay
1450,6.75742937e-06,decay
1460,6.60240883e-06,decay
1470,6.44908364e-06,decay
1480,6.29751292e-06,decay
1490,6.14775509e-06,decay
1500,5.99986790e-06,decay
1510,5.85390836e-06,decay
1520,5.70993273e-06,decay
1530,5.56799652e-06,decay
1540,5.42815446e-06,decay
1550,5.29046044e-06,decay
1560,5.15496757e-06,decay
1570,5.02172806e-06,decay
1580,4.89079329e-06,decay
1590,4.76221374e-06,decay
1600,4.63603897e-06,decay
1610,4.51231763e-06,decay
1620,4.39109742e-06,decay
1630,4.27242506e-06,decay
1640,4.15634631e-06,decay
1650,4.04290592e-06,decay
1660,3.93214762e-06,decay
1670,3.82411412e-06,decay
1680,3.71884705e-06,decay
1690,3.61638701e-06,decay
1700,3.51677349e-06,decay
1710,3.42004490e-06,decay
1720,3.32623852e-06,decay
1730,3.23539053e-06,decay
1740,3.14753594e-06,decay
1750,3.06270862e-06,decay
1760,2.98094128e-06,decay
1770,2.90226544e-06,decay
1780,2.82671144e-06,decay
1790,2.75430839e-06,decay
1800,2.68508421e-06,decay
1810,2.61906559e-06,decay
1820,2.55627798e-06,decay
1830,2.49674558e-06,decay
1840,2.44049135e-06,decay
1850,2.38753698e-06,decay
1860,2.33790287e-06,decay
1870,2.29160817e-06,decay
1880,2.24867072e-06,decay
1890,2.20910707e-06,decay
1900,2.17293248e-06,decay
1910,2.14016089e-06,decay
1920,2.11080493e-06,decay
1930,2.08487594e-06,decay
1940,2.06238389e-06,decay
1950,2.04333746e-06,decay
1960,2.02774400e-06,decay
1970,2.01560951e-06,decay
1980,2.00693867e-06,decay
1990,2.00173484e-06,decay
2000,2.00000000e-06,decay
