iteration,lm_loss_value,lm_loss_ppl,reg_loss_value,reg_loss_ppl
50,1.161736E+01,1.110081E+05,7.615785E+03,4.851652E+08
100,1.340704E+01,6.646664E+05,7.616810E+03,4.851652E+08
150,1.296712E+01,4.281035E+05,7.619352E+03,4.851652E+08
200,1.549217E+01,5.347674E+06,7.622215E+03,4.851652E+08
250,1.176644E+01,1.288542E+05,7.625785E+03,4.851652E+08
300,1.128546E+01,7.965480E+04,7.631141E+03,4.851652E+08
350,1.188648E+01,1.452885E+05,7.633798E+03,4.851652E+08
400,1.250351E+01,2.692799E+05,7.635353E+03,4.851652E+08
450,1.075681E+01,4.694890E+04,7.641146E+03,4.851652E+08
500,1.104297E+01,6.250275E+04,7.644854E+03,4.851652E+08
550,1.113715E+01,6.867557E+04,7.648693E+03,4.851652E+08
600,1.134056E+01,8.416755E+04,7.653197E+03,4.851652E+08
650,1.179350E+01,1.323889E+05,7.659308E+03,4.851652E+08
700,1.107539E+01,6.456237E+04,7.661159E+03,4.851652E+08
750,1.115774E+01,7.010438E+04,7.663946E+03,4.851652E+08
800,1.116398E+01,7.054326E+04,7.671310E+03,4.851652E+08
850,1.126647E+01,7.815661E+04,7.674691E+03,4.851652E+08
900,1.048755E+01,3.586627E+04,7.679147E+03,4.851652E+08
950,1.047793E+01,3.552287E+04,7.681950E+03,4.851652E+08
1000,1.017551E+01,2.625237E+04,7.684643E+03,4.851652E+08
1050,9.133303E+00,9.258550E+03,7.687837E+03,4.851652E+08
1100,8.498374E+00,4.906784E+03,7.691198E+03,4.851652E+08
1150,7.457586E+00,1.732959E+03,7.695348E+03,4.851652E+08
1200,6.801736E+00,8.994072E+02,7.699996E+03,4.851652E+08
1250,5.956599E+00,3.862942E+02,7.703359E+03,4.851652E+08
1300,5.419857E+00,2.258468E+02,7.709359E+03,4.851652E+08
1350,4.884523E+00,1.322274E+02,7.715837E+03,4.851652E+08
1400,4.382247E+00,8.001767E+01,7.720004E+03,4.851652E+08
1450,4.046807E+00,5.721447E+01,7.724000E+03,4.851652E+08
1500,3.781154E+00,4.386665E+01,7.726649E+03,4.851652E+08
1550,3.609316E+00,3.694079E+01,7.730050E+03,4.851652E+08
1600,3.475836E+00,3.232483E+01,7.733351E+03,4.851652E+08
1650,3.377321E+00,2.929220E+01,7.737789E+03,4.851652E+08
1700,3.294059E+00,2.695204E+01,7.740013E+03,4.851652E+08
1750,3.246460E+00,2.569920E+01,7.746004E+03,4.851652E+08
1800,3.218766E+00,2.499727E+01,7.747167E+03,4.851652E+08
1850,3.187777E+00,2.423448E+01,7.750212E+03,4.851652E+08
1900,3.175204E+00,2.393169E+01,7.753789E+03,4.851652E+08
1950,3.184855E+00,2.416377E+01,7.757159E+03,4.851652E+08
2000,3.187674E+00,2.423201E+01,7.759353E+03,4.851652E+08
